,player_name,team_name,against,date,gw,tenGameAverage,points,rebounds,assists,blocks,steals,turnovers,fieldGoalAttempts,freeThrowAttempts,made3PointFGs,doubleDoubles,tripleDoubles,score
31298,jaylen-nowell-19990709,Minnesota Timberwolves,Oklahoma City Thunder,2023-04-15T01:30:00Z,49,19,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31324,aaron-wiggins-19990102,Oklahoma City Thunder,Minnesota Timberwolves,2023-04-15T01:30:00Z,49,16,4,2.4,0.0,0,0,0,0,0,0,0,0,6.4
31510,tre-mann-20010203,Oklahoma City Thunder,Minnesota Timberwolves,2023-04-15T01:30:00Z,49,10,0,1.2,1.5,0,0,-6,0,0,0,0,0,-3.3
31505,wendell-moore-jr-20010918,Minnesota Timberwolves,Oklahoma City Thunder,2023-04-15T01:30:00Z,49,4,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31349,ousmane-dieng-20030521,Oklahoma City Thunder,Minnesota Timberwolves,2023-04-15T01:30:00Z,49,5,4,2.4,0.0,0,0,0,0,0,0,0,0,6.4
31336,dario-saric-19940408,Oklahoma City Thunder,Minnesota Timberwolves,2023-04-15T01:30:00Z,49,12,2,2.4,0.0,0,3,-2,0,0,0,0,0,5.4
31342,josh-minott-20021125,Minnesota Timberwolves,Oklahoma City Thunder,2023-04-15T01:30:00Z,49,9,7,0.0,0.0,0,0,0,0,0,1,0,0,8.0
31382,nathan-knight-19970920,Minnesota Timberwolves,Oklahoma City Thunder,2023-04-15T01:30:00Z,49,6,0,2.4,1.5,0,3,-4,0,0,0,0,0,2.9000000000000004
31374,jordan-mclaughlin-19960409,Minnesota Timberwolves,Oklahoma City Thunder,2023-04-15T01:30:00Z,49,12,0,1.2,0.0,0,3,-2,0,0,0,0,0,2.2
31238,coby-white-20000216,Chicago Bulls,Miami Heat,2023-04-14T23:00:00Z,49,27,14,6.0,6.0,3,3,-4,0,0,4,0,0,32.0
